,Country,Region,Year,Month,seces_word,self-det_word,tot_words,Tax_Auto,Referendum,Ruling_cat,Mas_speech,Budget ,Year
,Spain,Catalonia,2005,Jul,0,0,0,0,0,0,0,21.51687,2005
,Spain,Catalonia,2005,Aug,0,0,0,0,0,0,0,21.51687,2005
,Spain,Catalonia,2005,Sep,0,12,12,0,0,0,0,21.51687,2005
,Spain,Catalonia,2005,Oct,0,0,0,0,0,0,0,21.51687,2005
,Spain,Catalonia,2005,Nov,0,0,0,0,0,0,0,21.51687,2005
,Spain,Catalonia,2005,Dec,0,0,0,0,0,0,0,21.51687,2005
,Spain,Catalonia,2006,Jan,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Feb,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Mar,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Apr,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,May,0,1,1,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Jun,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Jul,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Aug,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Sep,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Oct,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Nov,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2006,Dec,0,0,0,0,0,0,0,23.92446,2006
,Spain,Catalonia,2007,Jan,0,0,0,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Feb,0,0,0,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Mar,0,57,57,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Apr,0,0,0,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,May,0,0,0,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Jun,0,0,0,0,0,0,0,26.68464,2007
,Spain,Catalonia,2007,Jul,0,0,0,0,0,0,0,26.68464,2007
